"Adresse","Occurrences","H1-1","Longueur du H1-1","Indexabilité","Statut d'indexabilité"
"https://www.infopro-digital.com/fr/protection-des-donnees/politica-privind-datele-cu-caracter-personal/","1","POLITICA PRIVIND DATELE CU CARACTER PERSONAL","44","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/it/","1","INFORMATIVA SUI DATI PERSONALI","30","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=marketing","0","","0","Non indexable","Canonisé"
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=commerce","0","","0","Non indexable","Canonisé"
"https://www.infopro-digital.com/fr/actualites/infopro-digital-acteur-majeur-du-paysage-technologique-francais/","1","[Communiqué] Infopro Digital, acteur majeur du paysage technologique français","77","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/travailler-chez-infopro-digital/","1","Travailler chez Infopro Digital, c’est prendre part à une aventure collective et entrepreneuriale","97","Indexable",""
"https://www.infopro-digital.com/fr/groupe/strategie-rse/","1","Nous souhaitons que le succès de nos clients soit durable et bénéficie à l’ensemble des parties prenantes","105","Indexable",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-est-classe-26eme-meilleur-employeur-en-2022-dans-la-categorie-tech-du-palmares-capital/","1","Infopro Digital est classé 26ème meilleur employeur en 2022 dans la catégorie tech du palmarès Capital","102","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=contenu","0","","0","Non indexable","Canonisé"
"https://www.infopro-digital.com/media/","1","Media","5","Indexable",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-index-de-legalite-femmes-hommes-2024/","1","Infopro Digital – Index de l’égalité femmes-hommes 2024","55","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=support","0","","0","Non indexable","Canonisé"
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=information-technology","0","","0","Non indexable","Canonisé"
"https://www.infopro-digital.com/solutions/lead-generation-platforms/","1","Digital platforms that boost sales and development opportunities","64","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/","0","","0","Indexable",""
"https://www.infopro-digital.com/solutions/software-and-databases/","1","Bringing our clients the best of data and technology","52","Indexable",""
"https://www.infopro-digital.com/group/international/","1","Infopro Digital is a global group with a mixture of both global and local solutions","83","Indexable",""
"https://www.infopro-digital.com/solutions/","1","We help professionals and businesses succeed in an increasingly complex and digital world","89","Indexable",""
"https://www.infopro-digital.com/sectors/construction-and-public-sector/","1","Construction and the public sector are an ecosystem in constant flux","68","Indexable",""
"https://www.infopro-digital.com/legal-notice-and-gtu/","1","Legal Notice and GTU","20","Non indexable","Canonisé"
"https://www.infopro-digital.com/fr/mot-de-passe-oublie/","1","Mot de passe oublié ?","21","Indexable",""
"https://www.infopro-digital.com/financial-access/","1","Financial informations","22","Indexable",""
"https://www.infopro-digital.com/fr/nous-contacter/","0","","0","Indexable",""
"https://www.infopro-digital.com/sectors/industry/","1","From digital to energy, the new industrial revolution is just getting started","77","Indexable",""
"https://www.infopro-digital.com/sectors/risk-and-insurance/","1","Banking, insurance, and asset management: finance is central to climate and technology challenges","97","Indexable",""
"https://www.infopro-digital.com/solutions/information-and-insights/","1","Unique B2B media expertise to inform and connect professionals","62","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-dabonnement-et-dutilisation-moniteur-juris/","1","CONDITIONS GÉNÉRALES DE VENTE TERRITORIAL EDITIONS","50","Indexable",""
"https://www.infopro-digital.com/fr/cgv/cgv-des-editions-de-largus-de-lassurance-derniere-mise-a-jour-07-2024/","1","CGV DES ÉDITIONS DE L’ARGUS DE L’ASSURANCE (dernière mise à jour 08/2025)","73","Indexable",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-ipdata-service/","1","General terms and conditions of sale France – IPDATA Service (last updated 07/2024)","83","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-ipd-leads/","1","Conditions Générales de Vente du SERVICE IPD LEADS (dernière mise à jour 10/2025)","81","Indexable",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-infopro-digital-etudes/","1","General terms and conditions of sale France – Infopro Digital Etudes (last updated 07/2024)","91","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/","1","Terms and Conditions for services and products delivered by Infopro Digital Services Limited","92","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-ventes-conditions-generales-dabonnement-et-dutilisation-kheox/","1","CONDITIONS GENERALES DE VENTES Conditions générales d’abonnement et d’utilisation «KHEOX»","89","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-dabonnement-et-dutilisation-moniteur-juris-2/","1","CONDITIONS GÉNÉRALES D’ABONNEMENT ET D’UTILISATION « MONITEUR JURIS »","69","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-editions-du-moniteur/","1","CONDITIONS GÉNÉRALES DE VENTE EDITIONS DU MONITEUR","50","Indexable",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-webinar-service/","1","General terms and conditions of sale France – Webinar service General terms and conditions of sale France – Infopro Digital Stories (last updated 07/2025)","154","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-dabonnement-des-produits-de-presse-et-des-services-numeriques/","1","Conditions Générales De Vente D’abonnement et d’Utilisation Des Produits De Presse Et Des Services Numériques + Offres PASS (dernière mise à jour 03/2025)","154","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-et-dutilisation-des-produits-et-services-batiprix/","1","CONDITIONS GÉNÉRALES DE VENTE ET D’UTILISATION DES PRODUITS ET SERVICES BATIPRIX (dernière mise à jour le 09/2025)","114","Indexable",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-for-selling-ad-space-press-internet-and-references/","1","General terms and conditions for Selling ad space press, Internet, and References (last update 10/2025)","103","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-events/","1","Conditions Générales de Vente Events (dernière mise à jour 07/2024)","67","Indexable",""
"https://www.infopro-digital.com/fr/cgv/publicite-presse-internet-et-referencement/","1","Conditions générales de vente d’Espace Publicitaire Presse, Internet et Référencement (dernière mise à jour 10/2025)","116","Indexable",""
"https://www.infopro-digital.com/fr/cgv/webinars/","1","Conditions générales de vente – Service de Webinars (dernière mise à jour 07/2025)","82","Indexable",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-france-infopro-digital-stories/","1","General terms and conditions of sale France – Infopro Digital Stories (last update 02/2026)","91","Indexable",""
"https://www.infopro-digital.com/fr/cgv/infopro-data/","1","Conditions générales de vente – Service IPDATA (dernière mise à jour 07/2024)","77","Indexable",""
"https://www.infopro-digital.com/fr/cgv/infopro-digital-etudes/","1","Conditions générales de vente – Infopro Digital Etudes (dernière mise à jour 7/2024)","84","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-formations/","1","Conditions Générales de Vente Formations (dernière mise à jour 03/2025)","71","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-trophees/","1","Conditions Générales de Vente Trophées (dernière mise à jour 07/2024)","69","Indexable",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-ipd-leads-service-last-updated-10-2025/","1","GENERAL TERMS AND CONDITIONS OF SALE – IPD LEADS SERVICE (last updated 10.2025)","79","Indexable",""
"https://www.infopro-digital.com/fr/cgv/infopro-digital-stories/","1","Conditions générales de vente – Infopro Digital Stories (dernière mise à jour 02/2026)","86","Indexable",""
"https://www.infopro-digital.com/group/about-us/","1","We dedicate our digital expertise to serving businesses, professionals, and local governments.","94","Indexable",""
"https://www.infopro-digital.com/news/john-van-der-valk-joins-infopro-digital-as-managing-director-trade-shows/","1","John van der Valk joins Infopro Digital as Managing Director Trade Shows","72","Indexable",""
"https://www.infopro-digital.com/news/supporting-return-to-work-after-cancer/","1","Supporting Return to Work After Cancer","38","Indexable",""
"https://www.infopro-digital.com/news/press-release-infopro-digital-acquires-eucon-automotive-a-global-pricing-and-data-provider-for-the-automotive-aftermarket/","1","[Press release] Infopro Digital acquires Eucon Automotive, a global pricing and data provider for the automotive aftermarket","124","Indexable",""
"https://www.infopro-digital.com/news/appointment-of-ben-wood/","1","Appointment of Ben Wood","23","Indexable",""
"https://www.infopro-digital.com/news/discover-the-2023-environmental-social-and-governance-report/","1","Discover the 2023 Environmental, Social and Governance report.","62","Indexable",""
"https://www.infopro-digital.com/data-protection/politica-privind-datele-cu-caracter-personal/","1","POLITICA PRIVIND DATELE CU CARACTER PERSONAL","44","Indexable",""
"https://www.infopro-digital.com/data-protection/it/","1","INFORMATIVA SUI DATI PERSONALI","30","Indexable",""
"https://www.infopro-digital.com/data-protection/fr/","1","POLITIQUE EN MATIÈRE DE DONNÉES PERSONNELLES","44","Indexable",""
"https://www.infopro-digital.com/data-protection/eng/","1","PERSONAL DATA POLICY","20","Indexable",""
"https://www.infopro-digital.com/data-protection/nl/","1","BELEID INZAKE PERSOONSGEGEVENS","30","Indexable",""
"https://www.infopro-digital.com/data-protection/pt/","1","POLÍTICA DE DADOS PESSOAIS","26","Indexable",""
"https://www.infopro-digital.com/data-protection/de/","1","RICHTLINIE ZUM SCHUTZ PERSONENBEZOGENER DATEN","45","Indexable",""
"https://www.infopro-digital.com/careers/job-board/","0","","0","Indexable",""
"https://www.infopro-digital.com/group/esg-strategy/","1","Our goal is for our clients to achieve lasting success that is good for everyone.","81","Indexable",""
"https://www.infopro-digital.com/data-protection/es/","1","POLÍTICA DE DATOS PERSONALES","28","Indexable",""
"https://www.infopro-digital.com/careers/job-board/?_jobs=content","0","","0","Non indexable","Canonisé"
"https://www.infopro-digital.com/news/infopro-digital-a-mayor-player-in-the-french-technology-ecosystem/","1","Infopro Digital, a major player in the French technology ecosystem","66","Indexable",""
"https://www.infopro-digital.com/careers/job-board/?_jobs=marketing","0","","0","Non indexable","Canonisé"
"https://www.infopro-digital.com/careers/working-at-infopro-digital/","1","When you work at Infopro Digital, you become part of a group entrepreneurial adventure","86","Indexable",""
"https://www.infopro-digital.com/careers/job-board/?_jobs=information-technology","0","","0","Non indexable","Canonisé"
"https://www.infopro-digital.com/careers/job-board/?_jobs=sales","0","","0","Non indexable","Canonisé"
"https://www.infopro-digital.com/careers/job-board/?_jobs=support","0","","0","Non indexable","Canonisé"
"https://www.infopro-digital.com/terms-and-conditions/publishing-licence/","1","PUBLISHING LICENCE","18","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/in-house-e-learning/","1","IN-HOUSE & E-LEARNING","21","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/logo-licence/","1","Logo Licence","12","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/central-banking-institute-membership/","1","CENTRAL BANKING INSTITUTE MEMBERSHIP","36","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/content-and-data-licence-terms-and-conditions/","1","CONTENT AND DATA LICENCE – TERMS AND CONDITIONS","47","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/lead-generation/","1","LEAD GENERATION","15","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/research-and-marketing-services/","1","RESEARCH AND MARKETING SERVICES","31","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/digital-advertising/","1","Digital Advertising","19","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/speaker-engagement/","1","SPEAKER ENGAGEMENT","18","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/sponsored-content-services/","1","SPONSORED CONTENT SERVICES","26","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/subscriptions/","1","SUBSCRIPTIONS","13","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/creative-services/","1","CREATIVE SERVICES","17","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/chartis-membership-terms-and-conditions/","1","CHARTIS MEMBERSHIP – TERMS AND CONDITIONS","41","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/webinar/","1","WEBINAR","7","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/event-admission/","1","EVENT ADMISSION","15","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/exhibitor-agreement/","1","EXHIBITOR AGREEMENT","19","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/sponsorship/","1","SPONSORSHIP","11","Indexable",""
"https://www.infopro-digital.com/terms-and-conditions/books/","1","BOOKS","5","Indexable",""
"https://www.infopro-digital.com/financial-contact-us/","0","","0","Indexable",""
"https://www.infopro-digital.com/forgot-your-password-2/","1","Forgot your password?","21","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/11637-mitarbeiter-m-w-d-personalabteilung/","1","Mitarbeiter (m/w/d) Personalabteilung","37","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/11635-head-of-client-and-sales-marketing/","1","Head of Marketing","17","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/11584-charg-de-missions-it-f-h-x/","1","IT Documentation Specialist (F/H/X)","35","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/11639-contract-administrator-m-f-d-sourcing-partnerships/","1","Contract Administrator (m/f/d) – Sourcing & Partnerships","56","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/11554-product-manager-h-f-x/","1","Customer Success Manager (H/F/X)","32","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/11371-acheteur-facility-management-et-mobilit-f-h-x/","1","Acheteur facility management et mobilité (F/H/X)","48","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/11641-responsable-marketing-f-h-x/","1","Responsable marketing (F/H/X)","29","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/11630-charg-de-projet-logistique-f-h-x/","1","Chargé de projet logistique (F/H/X)","35","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/11369-acheteur-service-f-h-x/","1","Acheteur service (F/H/X)","24","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/11616-credit-manager-pr-contentieux-international-f-h-x/","1","Credit manager précontentieux International (F/H/X)","51","Indexable",""
"https://www.infopro-digital.com/fr/notre-politique-environnementale/","1","Notre politique environnementale","32","Indexable",""
